cid,programTitle,campus,interests,bio,namSorGender.likelyGender,namSorCountry.country,namSorCountry.countryAlt,namSorCountry.region,namSorCountry.subRegion,isoCode.Country,isoCode.countryAlt
11,Master of International Business,Dubai,"I'm  Masters in International Business student. I am Nigerian, and my interests include marketing and advertising, music, and connecting with people. Let's chat soon.","Hi everyone, my name is . I am from Nigeria. I am part of 5 student clubs, the 5th the Business and Current Affairs Think Tank, Dubai chapter, of which I am the president. I have a background in advertising and broadcast journalism, my interest includes marketing and advertising, music, connecting with people, cooking, travel, and sound editing.  I chose Hult not just for its accreditation but mainly for its diversity in students and its teaching style. Hult is not a typical business school and that is why someone like me with a bachelor of art degree can seamlessly adjust to learning business. my experience at Hult has been life-changing, I have established relationships with people from all over the world, and that alone has changed my perspective. Hult has seamlessly transitioned into a blended form of learning, whether I am in online or in-person classes it feels the same and they were quick to this transition. I am happy I chose Hult at the end.
feel free to reach out to me if you have any questions about Hult general or specific and I would do my best to answer them.",female,BJ,CI,Africa,Western Africa,Benin,Cote d'Ivoire
12,Bachelor of Business Administration,London,"I'm Indian and my interests are digital marketing, travel, gaming, music, and photography.","Hello, I'm from India but I was born & grew up in Dubai, United Arab Emirates. I'm currently a sophomore pursuing my undergraduate at Hult International Business School London. I rotated from the Boston Campus and I did my Summer Programs in San Francisco and Dubai campus.",male,IN,LK,Asia,Southern Asia,India,Sri Lanka
13,Master of International Business,London,"Hi, my name is  and I'm from the Netherlands. I am a Dual Degree masters student in International Business and Finance. In my free time, I play tennis, football, golf, and love to travel. Feel free to reach out to me!","Before joining Hult, I did a Bachelor of Science in Management and Consumer Studies in the Netherlands. During this Bachelor's degree, I studied a semester abroad in the United States. Furthermore, I have previous working experience in banking and sales. I am currently doing my Master's in International Business at the London campus. Here, I joined the Hult Consulting Club and I am a team member of the Hult Post-Graduate Football Team. Studying at Hult has been one of the best decisions I have made. You get the unique opportunity to study in a very international environment at the highest level. Do you want to know more about what it is like to study at Hult? Let's have a chat!",male,DE,NL,Europe,Western Europe,Germany,Netherlands
14,Virtual Part-Time MBA,Boston,"Hey there! I'm  and I'm from Manila, Philippines. An island girl living the city life. I'm enthusiastic about music, fashion, sustainability, travel, and history. Let's connect!","Hello! I'm  from Manila, Philippines. Born in the city but raised by the water. I love the sun, surf, sand, and sea! Music, fashion, sustainability, travel, and history are just some of my interests. I am currently managing a family business in the jewelry industry while taking up Hult's Virtual Part-Time MBA. Hult has been a great learning experience. It is a great platform for meeting people from all over the world from all walks of life. I'm glad to be able to finally pursue my Hult experience - you can ask me more about my Hult journey.",female,SN,AU,Africa,Western Africa,Senegal,Australia
15,Bachelor of Business Administration,London,"Hey, my name is . I'm 22 years old, born and raised in London. I'm into traveling, fashion, design, and beauty.","Hello everyone! My name is , I'm originally from the United Kingdom. At hult I am part of two clubs, including: The Creative Society and The Investments Club. I am currently a Freshman at Hult. A bit about my background, prior to Hult I had been working in Digital Media first at OMD International as an accounts junior. After this role I recently worked at The Telegraph as a Global Digital Executive helping sell our digital assets to all the large global brands from Chanel to Ferrari.

Despite offers from traditional prestigious universities such as Kings and Queen Mary I decided to go to Hult because of it's preparedness for future skills and knowledge needed to grow and succeed in business. This is true when we take to account the close knit learning experience Hult offers. Classes are small enough to ask your professor questions and well and being able to contact the professor easily without layers of red tape. 

I'm open to answer your questions about London as a city, The Hult experience and any thing else regarding enrolment. 

Hope to see you at Hult!",male,SO,SY,Africa,Eastern Africa,Somalia,Syrian Arab Republic
16,Master of International Business,Dubai,"Hi, I'm . I'm Moroccan, but was born and raised in Brussels, Belgium. I love culture, people, and discovering the world. Shoot me a message so we can chat!","""Hi everyone, my name is .
From the first day I started this Hult journey, I felt happy with my choice.
I'm currently part of 3 clubs at Hult. TEDxHultDubai, BCA, and the foreign language basics club.
Hult has been a crazy ride so far, and I'm sure it'll be the same for you. My mind got expanded, my network became bigger, but I've also been able to grow in the short amount of time that I've spent here. You will definitely face challenges, but that's what makes this experience so rich and enjoyable.
Feel free to get in touch with me for any questions you may have!""",male,MA,TN,Africa,Northern Africa,Morocco,Tunisia
17,Bachelor of Business Administration,London,"Hey! My name is  and I'm from Mexico. I'm passionate about global topics, technology, and travel. Feel free to contact me!","Hello everyone! My name is  and I'm from Mexico City.  I'm an undergraduate student using the limitless learning modality studying in the Boston Campus, hoping that in spring I will be in London. Hult has been an incredible experience this first semester, full of adventure, friends, and knowledge. Being at Hult has helped me improve my communication and analysis skills, hoping to exceed my own expectations and accomplishments. There is so much diversity that I have met people literally from so many places in the world that I no longer have enough fingers to count them all, this has also helped me to know many more cultures and traditions than any other place. I am so grateful to be here because I can be who I really am.",male,ES,CO,Europe,Southern Europe,Spain,Colombia
18,Master of Business Analytics,Boston,"Hi, my name is  and I'm from Nigeria. I am passionate about storytelling and I enjoy listening to podcasts. Share your favorite ones with me!","Hello everyone! My name is , and I am from Nigeria. My pronouns are she/her/hers. In addition to being a blog writer for the Hult Global Ambassador Program, I serve as the VP of Communications for the Hult Boston Consulting Club. Prior to starting my MSBA at Hult, I graduated summa cum laude with a BBA in Economics from the University of Oklahoma. I am passionate about storytelling, social media, and social justice. In my free time, I enjoy writing poetry, baking, taking long walks, and listening to podcasts!",male,NG,NE,Africa,Western Africa,Nigeria,Niger
19,Bachelor of Business Administration,London,Hello! I am an Indian studying at Hult London for the last two years. I am extremely passionate about meeting new people and scuba diving! I am a green technology enthusiast and plan to major in finance and minor in management.,"Hello everyone! I am part of 3 different clubs at Hult House East, London, and have been exploring and understanding the city for the past 2 years now! I have had the privileged to be part of various different student initiatives on the campus and getting as involved in student life as possible. I joined Hult because I resonated with the ideology of what Hult had to offer and its approach towards higher education and business, and it has been a great journey so far, I have not only grown as a person but also expanded my mindset and way of approaching life. You can talk to me about anything regarding student life at Hult and London in general. You can also talk to me about how it feels to leave home and comes to study in a completely different city too!",female,PK,SA,Asia,Southern Asia,Pakistan,Saudi Arabia
20,Master of International Business,London,Hi everyone! My name is  and I'm an enrollment ambassador. Have any questions about student life at Hult? Let's chat!,"Hi everyone! My name is , I'm 25 y/o and come from Oslo, Norway.

I am currently enrolled in the MIB program at the Hult London PG campus. Aside from being a student, I'm also the VP of Finance for the Consulting Club and a Global Enrollment Ambassador for the Hult Ambassador Program. Prior to my studies at Hult, I hold a bachelor's in marketing management with a specialization in project management. I have worked many years in personal luxury sales and have done a few years of recruitment/headhunting. 

Hult has amazing opportunities for those who want to expand on their international knowledge and academics. My classmates, professors, and the staff all come from different countries around the world and the open and welcoming environment of the school creates the perfect field to get to know the people around you and to create a diverse network. I'm learning so much about the business world, diversity, and about my self, the school is truly investing in me to grow both professionally and personally. 

The things I have learned and the people I have connected with at Hult will stay with me for life!",female,DK,NO,Europe,Northern Europe,Denmark,Norway
21,Bachelor of Business Administration,London,"Hey everyone! My name is  and I'm from Spain. My interests are mainly traveling, photography, swimming, and finance and management on the academic side. Feel free to ask any questions!","Hello everyone! My name is  and I am from Mallorca, Spain. Hult is not only my university, but it's my home. It is teaching me how to become my true self and a better version of myself. During this journey, I am meeting some of the most amazing people from all over the world and living many adventures. I'm learning and achieving a lot more than I ever thought I would and working with all these different backgrounds expanded my horizons and taught me a lot of skills. The future is scary sometimes, but I know I am in the best hands with all Hult members. If you have any questions or you just want to talk, don't hesitate to text me, can't wait to hear from you!",female,ES,MX,Europe,Southern Europe,Spain,Mexico
22,Bachelor of Business Administration,London,"I am German and some of my greatest passions include social justice and leadership. Additionally, I engage in various clubs & societies at Hult London.","Hi! My name is  and I am from Germany. Since starting at Hult, I have joined the Hult Management Consulting Club, Model United Nations, Trading & Investing Society, as well as the Social Entrepreneurship Club. My motivation to study here has been the diverse student body in combination with the practice-oriented classes and variety of opportunities for professional development. During my time at Hult, I have been given the ability to connect with people from all over the world and educate myself further - not only in terms of general business knowledge but also regarding important interpersonal skills. Feel free to come to me with any questions you might have!",male,DE,NZ,Europe,Western Europe,Germany,New Zealand
23,Master of International Business,San Francisco,"Hey, my name is  and I am a German student living my dream in San Francisco. I am passionate about meeting new people, traveling, doing sports (tennis, golf, gym, and ski), management, and finance. I am looking forward to hearing from you!","Hey everyone! My name is and I am originally from Hamburg, Germany. I am 23 years old and I moved to San Francisco in September 2020 to pursue my masters degree at Hult. Before that, I have completed my bachelors degree in Business Administration at the University of Hamburg in 2019. After that, I took a gap year and did an internship at Beiersdorf (manufacturer of NIVEA, Eucerin etc.) prior to coming to Hult. I am very happy that I got the opportunity to do so. Hult is an amazing school that focuses its studies on practical implications rather than just learning the theory which I think is crucial for entering the business world. 

Another distinctive hallmark of Hult is the exceptional diversity. Working with people from all over the world is very exciting since we all have such diverse backgrounds. Learning from and about all these different cultures is truly fascinating. I am very happy to be part of this year's MIB cohort here in San Francisco. I already made many new friends around the globe. Moreover, San Francisco as a city is just beautiful. There are so many things that you can do aside from your studies. You will never get bored! 

There are also many clubs at Hult that you can join. I, for example, am part of the networking and the consulting club, since I am very interested in meeting new people and because my long-term goal is to find a job in the U.S. upon completion of my dual degree in March 2022. 

Speaking of networking, I am very interested to learn more about you and your interests. Feel free to reach out to me and ask me anything related to Hult, the program, the campus etc.!
I look forward to hearing from you soon. 

All the best,
Nicola",female,ZA,SE,Africa,Southern Africa,South Africa,Sweden
24,Master of Finance,Boston,"Hello everyone! This is  and I'm Italian. I'm really interested in economics, sports, and arts.","""Hi! I'm  and I'm from Italy. I graduated last summer in economics, markets, and finance in Venice. 
I decided to come to Hult for the many opportunities that gave us every day in meeting people from all over the world, keep our network growing, and specialize in what we like in order to get ready to start our career. 
It's been just a couple of months but I'm still enthusiastic about my life here and I can actually say it is really worth it, can't wait to see what the future holds! 
I of course like economics and especially finance, I love watching and play sports, I'm really passionate about arts and I enjoy hanging with people and have fun!""",female,IT,PT,Europe,Southern Europe,Italy,Portugal
25,Bachelor of Business Administration,Boston,"Hello! My name is  , I'm from Mexico. I am very passionate about inspiring people with my example and all my projects, I'm very creative. And I love anything to do with sports, particularly soccer and golf. I also have a podcast named ""Gomztalkz""","Hello!! My name is , I'm from Mexico, I am a social media ambassador for Hult. I have a diploma in entrepreneurship that I took back home 2 years ago and there I realize that I wanted to make things, to be different. That's when I started my own apparel brand, an organization whose purpose was to create houses for people in cold and poor places. I also own a podcast that is available on all platforms and I'm working hard to put it on the top charts as soon as I can. I come to Hult with the mission of finding people with the mindset as mine, now I can say I already find them. Herewith my circle of friends we're working on a lot of different projects that in the long term we can make a change and disrupt markets. I love sports especially Golf and Soccer. You can ask me about How I start my journey and my dream to study in the United States to look for better opportunities for investors, networking, etc.  And also my experience creating things and making them a reality.",male,MX,ES,Latin America and the Caribbean,Central America,Mexico,Spain
26,Bachelor of Business Administration,London,"Hey! My name is , I'm Indian with an influence of Curacao. My interests include, fashion, finance, and design.","Hi everyone! I'm . I'm from India, but I reside in Curacao. I'm interested in fashion, photography, art (specifically stippling), finance, and design. I don't have much experience professionally but I hope to obtain some very soon. The reason I came to Hult was because I realized that I couldn't get the diversity and the endless array of opportunities Hult has to offer anywhere else. The diversity has helped me grow individually and professionally. Another reason was that I can travel while studying. Since I was young I've always had the urge to explore and see the world out of my boundaries and Hult provides just that. You can ask me about anything Hult! Can't wait to chat!",male,IN,PK,Asia,Southern Asia,India,Pakistan
27,Master of International Business,Boston,"Hey! My name is , but people here call me . I am from Bulgaria and my hobbies are dancing, reading, and trying new foods. I love traveling, taking pictures, and learning about people's motivations to do things. Let's chat soon!","Hey there! My name is  and I come from Bulgaria, a fairly small country in Eastern Europe. 

My educational background is in Business Management, specializing in Entrepreneurship and Finance, while my professional background is in Marketing and Advertising. I have been a part of companies like Saatchi & Saatchi and Publicis One, as well as done some consulting gigs for smaller businesses. 

Here, at Hult, I am a member of the student association (HSA), the Ambassador program, and the Women in Business club. I chose Hult for my postgraduate studies because of its global rotation program and dual degree opportunity. Since my first day here, I have realized that there's so much more to this school! The people that I have met and the challenges that I came across have helped me grow as a person and a professional and are still continuing to do so every day! 

In my free time, I like to explore, be it new places, new foods, new books or movies. My favorite hobby is my daily dancing routine. I set the mood for the day by dancing for a whole hour every morning in my room and I finish the day doing the same in the evening. I know it will be a bad day if I don't have this time to jump around my place haha. Apart from that, I love taking and editing photos. All of my friends call me the master of memory albums! As I am a foodie, I love exploring food and snapping photos of everything I eat. 

My role here is as a Social Media ambassador, but you can come to me with questions regarding anything about Hult and Hult House life! I am a very active member of the community here, so the chances of me knowing the answer or being able to help you out are high! :)",female,BG,MD,Europe,Eastern Europe,Bulgaria,"Moldova, Republic of"
28,Bachelor of Business Administration,Boston,"Hi, I am  from Venezuela. I am part of the debate club and research program and enjoy reading, writing, and the more humanitarian side of business. Let's talk soon!","Hello all! My name is , I am from Venezuela but grew up in Colombia and Brasil. On-campus I'm part of the Debate Society and a member of the Research Initiative. For me, Hult has been a space where I have learned to explore and to defy the boundaries I had set for myself. The school environment and the people I have met, allowed me to grow and become more confident in the work that I do and the goals I have for the future. I am happy to answer any questions regarding what is like to be a Hultian and how to get the most out of your college experience!",female,ES,MX,Europe,Southern Europe,Spain,Mexico
29,Master of Business Administration,Boston,"Hi! My name is  and I'm from India. I am passionate about technology, photography, and travel. Let's chat soon!","Hello everyone! My name is  and I am from India. I am an experienced Salesforce Professional. I am a Club President for Hultforce - A Salesforce focused Student Community and along with a part of three different clubs. Hult has been a great learning experience for me. The school has helped me grow - not only personally but also professionally - by teaching me things that I could not have learned anywhere else. Being exposed to such a diverse community has provided me a great platform by allowing me to meet people from all around the world and learn from them. I can proudly say, that studying at Hult has been one of the best decisions of my life.",male,IN,NP,Asia,Southern Asia,India,Nepal
30,Master of International Business,Boston,"Hey there! I am  from the USA! My interests are music, nuclear technology, and finding new and innovative ways to take naps! Let's connect!","Howdy. With my undergraduate degrees in Mechanical Engineering and Spanish language, my background is mostly in international work relating to mechatronics and precision assurance. I came to Hult for the international aspect, as I do personally enjoy connecting with students from around the world. I am on the board of a few clubs here at Hult's Boston campus, and founding members of 2 of them! If I had to list my interests, I would identify the following: competitive napping, nuclear energy, music (singing, writing, international), and good foods from around the world. I am pretty open about anything and everything, and I pride myself on how honest I am about everything: all things in life have more than one side to a story, and I like looking and talking about all sides. Come connect with me!",male,CH,AT,Europe,Western Europe,Switzerland,Austria
31,Bachelor of Business Administration,Boston,"I'm Brazilian and my interests are investment banking, music, public speaking, social media, and reading.","I'm Brazilian, born and raised in Sao Paulo. I'm happy to be a part of the Global Gazette team this year. Being raised in one of the biggest cities in the world created a sense of always wanting to explore new things as it means there is always something new to discover. Im passionate about telling stories, or just anything that involves talking and sharing. Music, learning, and making people laugh are the most important things in my life (and popcorn, sorry I can't live without this too).",female,PT,BR,Europe,Southern Europe,Portugal,Brazil
32,Master of Business Analytics,San Francisco,"I'm French and my interests are traveling, sports, adrenalin-pumping activities, board and card games, and excel.","I'm an MBA student at the Hult London campus. I am from Paris, France and have worked in marketing in companies in France, Singapore, and New York. I love traveling, meeting people from different backgrounds and any adrenaline-pumping activity.",female,FR,CH,Europe,Western Europe,France,Switzerland
33,Bachelor of Business Administration,London,"Photography, Blogging, Reading, Singing, and Fashion.",My name is  from Morocco. My goal this year is to allow people from the four corners of the earth to get a clear insight into what Hult is about and what makes it special. I have gotten to know a lot about this institution throughout my first year and I am excited to voice my mind and share my experiences with students looking for the right education and with parents looking for the right university for their children.,female,MA,TN,Africa,Northern Africa,Morocco,Tunisia
34,Master of Business Administration,London,"Hi! My name is , and I grew up in Canada. I've been living in London for 5 years, and love to  explore this amazing city.","""Hi there! My name is , and I am a Canadian MBA student at the Hult London campus. I've been living here for 5 years,  moving here originally to do my MSc in Medical Anthropology. I work in the healthcare tech sector, and love learning about all aspects of public health. 
I cam to Hult to have the opportunity to meet other international students and work alongside them throughout my degree. It's been an amazing semester so far, albeit long hours! 
I love  operations and project management - for me there's nothing better than figuring out the cogs needed in order to make the wheel turn.  This comes in handy during my side hustle - I am a Reservist in the British Army. 
You can ask me about London living, travel, fashion, and definitely a list of the best pubs to go for a Sunday Roast!""",female,NZ,AU,Oceania,Australia and New Zealand,New Zealand,Australia
35,Master of Disruptive Innovation,San Francisco,"Hello! My name is , and I'm from Belgium. My interests are in psychology, entrepreneurship, sports, and languages.","Hello everyone! I am looking forward to meeting you! 
After studying for a master in I&O psychology in Belgium (University of Ghent) and Copenhagen (Erasmus exchange), I fell in love with the possibility of studying and living internationally. 
I don't regret it, these times have been periods of immense personal growth, and maybe even more because of this pandemic time. I have learned so much and I definitely am not the person I was at the beginning of this journey. 

I am proud of the person I have become because of this adventure I started 2 years ago and I would be happy to help you start your journey as well.",male,BE,NL,Europe,Western Europe,Belgium,Netherlands
36,Master of International Business,London,"Hello! My name is , and I am from Mumbai in India! Here are three things you should know about me in advance: 1) I have the funniest laugh in the world 2) I am an affiliate on Twitch  3) You'll know when I'm around because of my loud voice.","""Hello all of you lovelies, my name is ! I am from Mumbai in India, but I have spent the better part of my life traveling around the globe! I was once a professional football player for Bolton Wanderers in Greater Manchester, which I turned on its head by majoring in Sino-Indian history of the 20th century at the College of Wooster in Ohio. I am now in pursuit of an MSC in International Business at Hult London, followed by an MSC in Business Analytics at Hult San Francisco. I am a student of many diverse careers and several diverse subjects, and a Global Citizen in more ways than one!
I joined Hult because I love academia, and also because I wanted to foster life-long relationships with my Professors and be a part of a tight-knit community that rewards hard-work and curiosity!

I am an avid Twitch streamer due to my love for meeting new people, and I soon will also be segueing into YouTube. I also love learning more about how people think, and what really motivates them. Lastly, I wish to combine all my interests into a holistic career that specifically deals with helping people achieve their true potential!

You are more than welcome to come and chat with me about anything regarding the Hult experience, from telling me about your favorite source of entertainment on the internet, to especially what your favorite food is! I look forward to meeting all of you!""",male,IN,BD,Asia,Southern Asia,India,Bangladesh
37,Bachelor of Business Administration,London,"I'm French and I'm interested in dance, fashion, event planning, reading, and marketing.","I'm , a 19-year-old girl from Runion island who came to Hult to find new opportunities and pursue my objectives while having the best university experience through Hult.",female,MG,IE,Africa,Eastern Africa,Madagascar,Ireland
38,Bachelor of Business Administration,Boston,"Hello! My name is , I am from Monterrey, Mexico, and my interests include traveling, tae kwon do, and cooking.","Hi everyone! My name is  and I am from Monterrey, Mexico. I am part of the Hult Fashion Society club and the HultCast. I recently opened a restaurant in my home city with some of my friends and it inspired me of continuing pursuing my dreams and goals, to which I found Hult to be the perfect school that can launch my talents and passions into something greater. So far my experience has been more than wonderful, meeting people from all over the world and having the opportunity of receiving class from excellent Professors is everything I imagined my university experience to be. I am open to receive any questions regarding student life, international university experience, and much more! I am extremely happy with my decision of coming to Hult and couldn't be more thankful.",female,ES,VE,Europe,Southern Europe,Spain,"Venezuela, Bolivarian Republic of"
39,Master of International Business,London,"I love to sing and perform. My interests include entrepreneurship, music, and traveling! I'm also passionate about community service.","Hello everyone! My name is  and I am from Las Vegas, NV. My first time coming to London I interned at a film studio and did product and prop placement for multiple films and TV shows. I also have experience in working in the supply chain at Amazon and Pepsi. I came to Hult to get a truly international experience and meet people from all over the world. I think it's important to have an understanding of cultural intelligence to broaden your perspective. It's an organic opportunity. In addition, studying abroad has exposed me to new things and has helped me grow. My journey thus far has been amazing, to say the least, despite a pandemic. I am an Enrollment Ambassador as well as an HSA representative and am apart of the Entrepreneurship club. Feel free to ask me about getting involved within the campus community and any questions to understand why I chose Hult London. Cheers!",female,NZ,AU,Oceania,Australia and New Zealand,New Zealand,Australia
40,Bachelor of Business Administration,London,"Hi! My name is  and I'm from Colombia. I'm passionate about non-profits, social impact, and travel. Let's chat soon!","Hello everyone! My name is  and I'm from Bogota, Colombia. I am a global ambassador, tutor, and member of three clubs.  I came to Hult because I like to learn by doing, to meet people from different cultures,  and to be part of a university that cares about the world.  So far my experience at Hult has been amazing. My classmates and professors are outstanding. I am interested in creating positive impacts for the world through business. And I'm happy to say that Hult is the best place for me to grow as a global citizen, and learn about business.  Hult still is the only university I would like to be at.",female,ES,CO,Europe,Southern Europe,Spain,Colombia
41,Master of International Business,London,"Hi! My name is and I'm from Lisbon, Portugal. My main interests are management, project planning, consulting, behavioral economics, and econometrics. I have a bachelors degree in economics and I love to travel, having lived in Wales and Brazil.","Hello everyone! My name is  and I am from Lisbon, Portugal. I have a bachelor's degree in economics from ISCTE and I was an exchange student  for one year at Bangor University, Wales. Also, I have worked in Sao Paulo, Brazil at the Portuguese consulate for the Portuguese Trade & Investment Agency (AICEP) during 6 months before coming to London. The reason why I chose Hult was due to the different cultures you get to be in contact with and know throughout your master's degree, as Hult is one of the most culturally diverse business schools. My experience at Hult has been a surprise, I am enjoying a lot the challenges and I have been loving being a part of the Hult London Consulting Club as a VP of events. I think Hult helped me grow and pushed myself to get out of my comfort zone, the career events at Hult are also something I have been taking a lot of advantage from, I think they prepare us for our professional life and guide us through choosing what we want to do next. I feel like I made the right choice to be at Hult, if you want to challenge yourself and be in contact with people from all over the world and be in a university that helps you with your career path, there is no better place to be! In terms of my passions and interests, I'm passionate about management, project planning, consulting, behavioral economics and econometrics. Feel free to reach out to me if you have any questions! I would love to help you know more about Hult and with any questions you may have in general, not too long ago I was also in your position, considering taking this step and going into Hult so if you need any help, I'm here!",female,PT,BR,Europe,Southern Europe,Portugal,Brazil
